repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category4_surface_mentions/facebook__lexical,facebook__lexical,category4_surface_mentions,https://github.com/facebook/lexical.git,23300,2100,False,MIT,2026-04-21T04:00:08+00:00,6,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category4_surface_mentions/farion1231__cc-switch,farion1231__cc-switch,category4_surface_mentions,https://github.com/farion1231/cc-switch.git,52400,3400,False,MIT,2026-04-21T11:56:13+08:00,6,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/farzaa__clicky,farzaa__clicky,category4_surface_mentions,https://github.com/farzaa/clicky.git,4900,888,False,MIT,2026-04-09T17:46:04-07:00,17,0-30d,0,0,0,0,0,0,3,0,0,0,1,False,,
category4_surface_mentions/feiskyer__claude-code-settings,feiskyer__claude-code-settings,category4_surface_mentions,https://github.com/feiskyer/claude-code-settings.git,1500,218,False,MIT,2026-04-17T10:34:48+08:00,10,0-30d,11,0,1,11,0,0,29,20,7,1,4,True,unsafe_command_or_execution_surface,3
category4_surface_mentions/filipecalegario__awesome-vibe-coding,filipecalegario__awesome-vibe-coding,category4_surface_mentions,https://github.com/filipecalegario/awesome-vibe-coding.git,4000,465,False,CC0-1.0,2026-04-15T22:34:03-03:00,11,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/first-fluke__oh-my-agent,first-fluke__oh-my-agent,category4_surface_mentions,https://github.com/first-fluke/oh-my-agent.git,850,102,False,MIT,2026-04-21T16:26:12+10:00,6,0-30d,10,0,0,9,1,0,27,20,1,1,4,True,remote_fetch_or_install_expands_trust_boundary,1
category4_surface_mentions/forem__forem,forem__forem,category4_surface_mentions,https://github.com/forem/forem.git,22700,4200,False,AGPL-3.0,2026-04-20T16:44:56-04:00,6,0-30d,0,0,0,0,0,0,5,0,0,0,1,False,,
category4_surface_mentions/forrestchang__andrej-karpathy-skills,forrestchang__andrej-karpathy-skills,category4_surface_mentions,https://github.com/forrestchang/andrej-karpathy-skills.git,92100,8800,False,,2026-04-20T18:05:04+08:00,6,0-30d,0,0,0,0,0,0,3,1,1,0,3,True,,
category4_surface_mentions/fossasia__eventyay,fossasia__eventyay,category4_surface_mentions,https://github.com/fossasia/eventyay.git,1600,373,False,Apache-2.0,2026-04-20T14:01:15+05:30,7,0-30d,1,0,0,1,0,0,19,10,0,0,2,True,prompt_or_instruction_override_surface,1
category4_surface_mentions/foxglove__mcap,foxglove__mcap,category4_surface_mentions,https://github.com/foxglove/mcap.git,913,198,False,MIT,2026-04-09T15:47:46-04:00,17,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/gadievron__raptor,gadievron__raptor,category4_surface_mentions,https://github.com/gadievron/raptor.git,2400,366,False,License,2026-04-21T01:40:24+01:00,6,0-30d,4,0,0,4,0,0,12,11,0,0,2,True,unsafe_command_or_execution_surface,1
