repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/avelino__awesome-go,avelino__awesome-go,../agent-instruction-corpus/clones/category1_top_instruction_repos/avelino__awesome-go,https://github.com/avelino/awesome-go.git,avelino,awesome-go,True,171000,13200,False,MIT,2026-04-19T22:35:49+00:00,2026-04-19T22:35:49+00:00,1,7,7,0-30d,True
category1_top_instruction_repos/axios__axios,axios__axios,../agent-instruction-corpus/clones/category1_top_instruction_repos/axios__axios,https://github.com/axios/axios.git,axios,axios,True,109000,11700,False,MIT,2026-04-19T18:51:43+02:00,2026-04-19T18:51:43+02:00,1,7,7,0-30d,True
category1_top_instruction_repos/denoland__deno,denoland__deno,../agent-instruction-corpus/clones/category1_top_instruction_repos/denoland__deno,https://github.com/denoland/deno.git,denoland,deno,True,107000,6000,False,MIT,2026-04-18T13:29:54+02:00,2026-04-18T13:29:54+02:00,1,8,8,0-30d,True
category1_top_instruction_repos/electron__electron,electron__electron,../agent-instruction-corpus/clones/category1_top_instruction_repos/electron__electron,https://github.com/electron/electron.git,electron,electron,True,121000,17200,False,MIT,2026-04-20T10:26:43-05:00,2026-04-20T10:26:43-05:00,1,6,6,0-30d,True
category1_top_instruction_repos/excalidraw__excalidraw,excalidraw__excalidraw,../agent-instruction-corpus/clones/category1_top_instruction_repos/excalidraw__excalidraw,https://github.com/excalidraw/excalidraw.git,excalidraw,excalidraw,True,122000,13400,False,MIT,2026-04-13T10:30:58+02:00,2026-04-13T10:30:58+02:00,1,14,14,0-30d,True
category1_top_instruction_repos/f__prompts.chat,f__prompts.chat,../agent-instruction-corpus/clones/category1_top_instruction_repos/f__prompts.chat,https://github.com/f/prompts.chat.git,f,prompts.chat,True,161000,21000,False,License,2026-04-20T04:10:41+00:00,2026-04-20T04:10:41+00:00,1,7,7,0-30d,True
category1_top_instruction_repos/facebook__react,facebook__react,../agent-instruction-corpus/clones/category1_top_instruction_repos/facebook__react,https://github.com/facebook/react.git,facebook,react,True,245000,51000,False,MIT,2026-04-17T13:21:41-04:00,2026-04-17T13:21:41-04:00,1,9,9,0-30d,True
category1_top_instruction_repos/facebook__react-native,facebook__react-native,../agent-instruction-corpus/clones/category1_top_instruction_repos/facebook__react-native,https://github.com/facebook/react-native.git,facebook,react-native,True,126000,25200,False,MIT,2026-04-20T07:48:25-07:00,2026-04-20T07:48:25-07:00,1,6,6,0-30d,True
category1_top_instruction_repos/fastapi__fastapi,fastapi__fastapi,../agent-instruction-corpus/clones/category1_top_instruction_repos/fastapi__fastapi,https://github.com/fastapi/fastapi.git,fastapi,fastapi,True,97700,9200,False,MIT,2026-04-20T21:41:14+00:00,2026-04-20T21:41:14+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/fatedier__frp,fatedier__frp,../agent-instruction-corpus/clones/category1_top_instruction_repos/fatedier__frp,https://github.com/fatedier/frp.git,fatedier,frp,True,106000,15000,False,Apache-2.0,2026-04-14T01:18:31+08:00,2026-04-14T01:18:31+08:00,1,13,13,0-30d,True
